Pkey,Title,Desc,AuthorName,Topic,PublishDate,ReadTime,Clicks
7a7727e5-3039-4691-9454-73eb807f95ce,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Addiction,1/1/2019 12:00:00 AM,30,6
3a12bf34-5f06-40a2-9240-70bdca343231,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Allergy,3/13/2022 12:00:00 AM,30,6
e286899d-373a-404b-986d-64fb93310607,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Autism,4/5/2000 12:00:00 AM,77,8472
d6a61799-78ca-42d5-9fa1-a02544f0fbfb,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Buckeye Stories,6/3/2022 12:00:00 AM,55,6717
18ebd249-fca2-4487-9d8e-4f2b41c55c54,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Burn and Wound,8/8/2022 12:00:00 AM,74,6004
9d4622bc-3869-45c0-aed0-9a2f33272617,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Cancer,8/3/2022 12:00:00 AM,6,93
e7a00103-8ce9-405c-9eb9-ae0009a17c37,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Cognitive and Memory Disorders,8/3/2022 12:00:00 AM,84,693
97b1324f-57fa-48d3-aad4-e92f5b3a3cf6,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Dermatology,8/3/2022 12:00:00 AM,17,3415
ccee3633-b416-4e5e-88f0-36b559550650,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Diabetes,8/3/2022 12:00:00 AM,82,7581
5cd3e753-931f-4ce3-88a3-f75525558659,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Digestive Diseases,8/3/2022 12:00:00 AM,31,1111
3348c687-8bd5-4a72-a18c-4c14ca57cb1b,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Ear Nose and Throat,8/3/2022 12:00:00 AM,47,3865
3f4e592b-cacb-4727-bf3e-2a05a5aeb9dc,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Emergency Medicine,8/3/2022 12:00:00 AM,22,718
b9c0bf93-1962-4008-ae92-ba3cd78e1d59,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Eye Care,8/3/2022 12:00:00 AM,29,6963
7c770b1d-37d6-49ea-be3e-0895e5ddde55,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Family,8/3/2022 12:00:00 AM,28,1644
a5f21465-7ecd-43c0-8ea9-54e20d9821eb,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Fitness,8/3/2022 12:00:00 AM,76,3336
7076ddc7-a945-466a-9f80-38a66891b9f5,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Geriatrics,8/3/2022 12:00:00 AM,22,7611
ecfcbd05-052a-4ad2-b9de-1a18f7937d4b,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Health and Wellness,8/3/2022 12:00:00 AM,68,7576
aa601a8e-3510-4909-8fb0-60bb0746ce2d,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Healthy Eating,8/3/2022 12:00:00 AM,82,4076
7671b88f-87dd-423d-8cb2-dcc3faf0bd80,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Hearing Loss,8/3/2022 12:00:00 AM,4,7318
1b6079d8-9764-41bc-95a3-4b61322f57fa,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Heart and Vascular Health,8/3/2022 12:00:00 AM,94,8354
5bd444c0-720c-448c-ab0f-5d9f46c4a5ad,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Infectious Diseases,8/3/2022 12:00:00 AM,85,2173
22499a55-fd23-44a5-9102-1c82593fdf39,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Integrative Medicine,8/3/2022 12:00:00 AM,66,4152
143e67b7-751c-4fdd-9d0e-b83c7861bb0b,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Lung and Pulmonary,8/3/2022 12:00:00 AM,46,8120
ce023ab5-69df-4ded-8f49-f91985e8e8d8,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Mental and Behavioral Health,8/3/2022 12:00:00 AM,65,607
5adf8739-4890-44fe-b4c8-3c21054f091d,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,MyChart,8/3/2022 12:00:00 AM,74,2731
1470d9dd-53fd-4f4c-9fe8-da946afe37dc,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Neurological Institute,8/3/2022 12:00:00 AM,59,1179
638acf43-3d11-4095-afbd-25cedf992db0,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Nursing,8/3/2022 12:00:00 AM,21,1723
70a8bab1-6abc-4d05-a125-556c5396234d,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Orthopedics,8/3/2022 12:00:00 AM,62,5819
546cc70b-6763-4818-bdd5-4c1d5718587c,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Physical Medicine and Rehabilitation,8/3/2022 12:00:00 AM,7,8963
075d1179-9e46-423a-81ee-930b82a7120b,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Plastic Surgery,8/3/2022 12:00:00 AM,69,2629
e99116a0-bd0a-4d85-96a9-ff3a88227c88,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Primary Care,8/3/2022 12:00:00 AM,93,2973
4cc7743e-064a-4d5b-bdd7-c937a9314c8b,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Research,8/3/2022 12:00:00 AM,9,3274
515eb816-383a-4946-9890-ab17be06361f,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Sports Medicine,8/3/2022 12:00:00 AM,78,1245
0abaacf3-34f3-4c39-a3ba-474689c3063a,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Stress Management,8/3/2022 12:00:00 AM,46,972
e4251b3a-4e91-431e-a3cf-2a10d54243b3,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Tech and Innovation,8/3/2022 12:00:00 AM,46,8860
b3ae6d78-79c1-4217-bb57-1d7b6138f37a,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Transplant,8/3/2022 12:00:00 AM,2,7593
8867ee56-cbd4-49e2-a170-4a2db1094fe8,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Urology,8/3/2022 12:00:00 AM,89,1804
d13896b9-2acc-4d9a-9f6d-a83eeae47db4,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Weight Management,8/3/2022 12:00:00 AM,9,6229
88b37793-8200-468c-9e4c-eb913f06154b,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Women and Infants,8/3/2022 12:00:00 AM,71,7770
4f317ac7-f376-45c2-8498-bd8fee1b4c97,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Womens Health,8/3/2022 12:00:00 AM,26,7962
965ec586-d828-4cef-a69a-568126100e17,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Addiction,8/3/2022 12:00:00 AM,14,9075
02aec6d2-f899-4b88-8459-1edfede1cdd8,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Allergy,8/3/2022 12:00:00 AM,83,7482
d48cdf77-7f9e-4b98-9414-0e211456798e,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Burn and Wound,8/3/2022 12:00:00 AM,60,4349
38b72d9b-5c97-42e5-bade-acdb5bc85033,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Geriatrics,8/3/2022 12:00:00 AM,1,5765
117d16ab-f7a1-47d7-94a5-dbd5f0a44647,Ohio State Outpatient Care Dublin takes medical center’s mission to more people,If you look strictly at the numbers the newly christened Ohio State Outpatient Care Dublin is impressive.,Wendy Pramik,Orthopedics,8/3/2022 12:00:00 AM,36,6190
